type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,2:0,D Major,,
timeSignature,0,0,2:2,2/2,,
setTempo,0,0,416667,143.99988480009216,,
noteOn,0,239,62:80,D4,D4,0.2282
noteOn,0,479,47:80,B2,B2,0.2282
noteOn,240,239,66:80,F#4,Gb4,0.1826
noteOn,480,239,59:80,B3,B3,0.2282
noteOn,480,479,50:80,D3,D3,0.2282
noteOn,720,239,61:80,C#4,Db4,0.1826
noteOn,960,239,62:80,D4,D4,0.1826
noteOn,960,599,54:80,F#3,Gb3,0.1826
noteOn,1200,239,66:80,F#4,Gb4,0.2282
noteOn,1440,239,59:80,B3,B3,0.3195
noteOn,1560,119,55:80,G3,G3,0.2739
noteOn,1680,239,62:80,D4,D4,0.2739
noteOn,1680,119,54:80,F#3,Gb3,0.2739
noteOn,1800,119,53:80,F3,F3,0.1826
noteOn,1920,239,61:80,C#4,Db4,0.2282
noteOn,1920,479,54:80,F#3,Gb3,0.2282
noteOn,2160,239,66:80,F#4,Gb4,0.2282
noteOn,2400,119,67:80,G4,G4,0.3195
noteOn,2400,479,46:80,A#2,Bb2,0.3195
noteOn,2520,119,66:80,F#4,Gb4,0.2282
noteOn,2640,119,65:80,F4,F4,0.2282
noteOn,2760,119,66:80,F#4,Gb4,0.1826
noteOn,2880,239,70:80,A#4,Bb4,0.2282
noteOn,2880,479,49:80,C#3,Db3,0.2282
noteOn,3120,239,66:80,F#4,Gb4,0.1826
noteOn,3360,239,73:80,C#5,Db5,0.2282
noteOn,3360,479,54:80,F#3,Gb3,0.2282
noteOn,3600,239,64:80,E4,E4,0.1826
noteOn,3840,239,62:80,D4,D4,0.2282
noteOn,3840,479,47:80,B2,B2,0.2282
noteOn,4080,239,66:80,F#4,Gb4,0.1826
noteOn,4320,239,59:80,B3,B3,0.2282
noteOn,4320,479,50:80,D3,D3,0.2282
noteOn,4560,239,61:80,C#4,Db4,0.1826
noteOn,4800,239,62:80,D4,D4,0.1826
noteOn,4800,599,54:80,F#3,Gb3,0.1826
noteOn,5040,239,66:80,F#4,Gb4,0.2282
noteOn,5280,239,59:80,B3,B3,0.3195
noteOn,5400,119,55:80,G3,G3,0.2739
noteOn,5520,239,62:80,D4,D4,0.2739
noteOn,5520,119,54:80,F#3,Gb3,0.2739
noteOn,5640,119,53:80,F3,F3,0.1826
noteOn,5760,239,61:80,C#4,Db4,0.2282
noteOn,5760,479,54:80,F#3,Gb3,0.2282
noteOn,6000,239,66:80,F#4,Gb4,0.1826
noteOn,6240,239,61:80,C#4,Db4,0.1826
noteOn,6240,479,42:80,F#2,Gb2,0.1826
noteOn,6480,239,58:80,A#3,Bb3,0.1369
noteOn,6720,239,54:80,F#3,Gb3,0.1369
noteOn,6960,239,52:80,E3,E3,0.1369
noteOn,7200,239,50:80,D3,D3,0.1369
noteOn,7440,239,49:80,C#3,Db3,0.1369
noteOn,7680,239,50:80,D3,D3,0.1826
noteOn,7920,239,54:80,F#3,Gb3,0.1826
noteOn,8160,479,74:80,D5,D5,0.2282
noteOn,8160,239,47:80,B2,B2,0.2282
noteOn,8400,239,49:80,C#3,Db3,0.1826
noteOn,8640,479,71:80,B4,B4,0.2282
noteOn,8640,239,50:80,D3,D3,0.2282
noteOn,8880,239,54:80,F#3,Gb3,0.1826
noteOn,9120,479,66:80,F#4,Gb4,0.1826
noteOn,9120,239,47:80,B2,B2,0.1826
noteOn,9360,239,50:80,D3,D3,0.1369
noteOn,9600,239,49:80,C#3,Db3,0.1826
noteOn,9840,239,54:80,F#3,Gb3,0.2282
noteOn,10080,479,76:80,E5,E5,0.3195
noteOn,10080,119,55:80,G3,G3,0.3195
noteOn,10200,119,54:80,F#3,Gb3,0.2282
noteOn,10320,119,53:80,F3,F3,0.2282
noteOn,10440,119,54:80,F#3,Gb3,0.1826
noteOn,10560,479,73:80,C#5,Db5,0.2282
noteOn,10560,239,58:80,A#3,Bb3,0.2282
noteOn,10800,239,54:80,F#3,Gb3,0.1826
noteOn,11040,479,66:80,F#4,Gb4,0.1826
noteOn,11040,239,61:80,C#4,Db4,0.1826
noteOn,11280,239,52:80,E3,E3,0.1369
noteOn,11520,239,50:80,D3,D3,0.1826
noteOn,11760,239,54:80,F#3,Gb3,0.1826
noteOn,12000,719,78:80,F#5,Gb5,0.1826
noteOn,12000,239,47:80,B2,B2,0.1826
noteOn,12240,239,49:80,C#3,Db3,0.1826
noteOn,12480,239,50:80,D3,D3,0.2739
noteOn,12720,119,76:80,E5,E5,0.3651
noteOn,12720,239,54:80,F#3,Gb3,0.3651
noteOn,12840,119,74:80,D5,D5,0.3195
noteOn,12960,119,76:80,E5,E5,0.3651
noteOn,12960,239,47:80,B2,B2,0.3651
noteOn,13080,119,74:80,D5,D5,0.2739
noteOn,13200,119,73:80,C#5,Db5,0.2739
noteOn,13200,239,50:80,D3,D3,0.2739
noteOn,13320,119,71:80,B4,B4,0.1826
