type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,384,384,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,500000,120,,
noteOn,786,3965,36:79,C2,C2,0.1021
noteOn,791,3520,48:85,C3,C3,0.051
noteOn,3199,1175,51:79,D#3,Eb3,0.1021
noteOn,3203,1569,39:71,D#2,Eb2,0.051
noteOn,3831,552,44:79,G#2,Ab2,0.1021
noteOn,3832,585,56:79,G#3,Ab3,0.051
noteOn,4322,441,46:82,A#2,Bb2,0.1021
noteOn,4323,479,58:87,A#3,Bb3,0.051
noteOn,4747,392,48:84,C3,C3,0.2041
noteOn,4750,319,60:87,C4,C4,0.1531
noteOn,5087,403,44:79,G#2,Ab2,0.2041
noteOn,5090,396,56:83,G#3,Ab3,0.1531
noteOn,5454,680,51:82,D#3,Eb3,0.2041
noteOn,5460,372,63:85,D#4,Eb4,0.1531
noteOn,5799,334,58:83,A#3,Bb3,0.2041
noteOn,5805,358,70:89,A#4,Bb4,0.1531
noteOn,6115,267,72:88,C5,C5,0.2041
noteOn,6122,354,60:87,C4,C4,0.1531
noteOn,6413,359,56:79,G#3,Ab3,0.2041
noteOn,6415,342,68:85,G#4,Ab4,0.1531
noteOn,6724,880,63:86,D#4,Eb4,0.2041
noteOn,6735,370,75:86,D#5,Eb5,0.1531
noteOn,7067,528,70:87,A#4,Bb4,0.1021
noteOn,7068,545,82:89,A#5,Bb5,0.051
noteOn,7558,628,72:85,C5,C5,0.1021
noteOn,7559,677,84:88,C6,C6,0.051
noteOn,8094,511,67:64,G4,G4,0.1021
noteOn,8096,530,79:83,G5,G5,0.051
noteOn,8552,422,82:78,A#5,Bb5,0.2041
noteOn,8561,370,70:59,A#4,Bb4,0.1531
noteOn,8885,490,80:70,G#5,Ab5,0.1021
noteOn,8886,455,68:59,G#4,Ab4,0.051
noteOn,9289,1066,79:71,G5,G5,0.1021
noteOn,9292,1082,67:48,G4,G4,0.051
noteOn,10295,545,66:36,F#4,Gb4,0.1021
noteOn,10301,523,78:49,F#5,Gb5,0.051
noteOn,11883,518,78:47,F#5,Gb5,0.1021
noteOn,11890,433,66:34,F#4,Gb4,0.051
noteOn,12300,451,67:43,G4,G4,0.2041
noteOn,12305,455,79:65,G5,G5,0.1531
noteOn,12662,411,78:74,F#5,Gb5,0.2041
noteOn,12667,332,66:49,F#4,Gb4,0.1531
noteOn,12985,321,65:47,F4,F4,0.2041
noteOn,12987,381,77:73,F5,F5,0.1531
noteOn,13296,466,78:79,F#5,Gb5,0.1021
noteOn,13305,400,66:56,F#4,Gb4,0.051
noteOn,13692,433,81:71,A5,A5,0.2041
noteOn,13706,304,69:40,A4,A4,0.1531
noteOn,13961,229,79:75,G5,G5,0.2041
noteOn,13981,225,67:52,G4,G4,0.1531
noteOn,14157,131,75:73,D#5,Eb5,0.2041
noteOn,14170,91,63:50,D#4,Eb4,0.1531
noteOn,14400,704,63:52,D#4,Eb4,0.1021
noteOn,14406,766,75:71,D#5,Eb5,0.051
noteOn,15066,347,74:62,D5,D5,0.2041
noteOn,15073,279,62:36,D4,D4,0.1531
noteOn,15346,574,77:69,F5,F5,0.2041
noteOn,15367,371,65:35,F4,F4,0.1531
noteOn,15701,332,75:59,D#5,Eb5,0.2041
noteOn,15709,258,63:40,D#4,Eb4,0.1531
noteOn,15985,260,74:47,D5,D5,0.1021
noteOn,15993,258,62:38,D4,D4,0.051
noteOn,16453,931,74:42,D5,D5,0.1021
noteOn,16482,931,62:33,D4,D4,0.051
noteOn,20127,2329,72:72,C5,C5,0.2041
noteOn,20131,1341,51:48,D#3,Eb3,0.1531
noteOn,20132,1078,60:51,C4,C4,0.1021
noteOn,20135,1188,55:42,G3,G3,0.051
noteOn,21320,1009,67:66,G4,G4,0.051
noteOn,21847,3860,50:55,D3,D3,0.1021
noteOn,21977,3393,55:60,G3,G3,0.1531
noteOn,22262,3056,63:64,D#4,Eb4,0.1021
noteOn,22274,5459,70:73,A#4,Bb4,0.051
noteOn,26984,1534,38:42,D2,D2,0.051
noteOn,27414,1117,60:56,C4,C4,0.1021
noteOn,27716,274,62:55,D4,D4,0.1531
noteOn,27917,241,66:64,F#4,Gb4,0.1531
noteOn,28098,392,70:64,A#4,Bb4,0.1531
noteOn,28256,291,69:59,A4,A4,0.1021
noteOn,28469,737,67:59,G4,G4,0.2041
