type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,384,384,,
keySignature,0,0,0:0,C Major,,
timeSignature,0,0,4:4,4/4,,
setTempo,0,0,512820,117.000117000117,,
noteOn,1506,108,61:76,C#4,Db4,0.5613
noteOn,1570,86,67:71,G4,G4,0.5103
noteOn,1619,63,70:80,A#4,Bb4,0.4593
noteOn,1660,49,76:86,E5,E5,0.4082
noteOn,1707,60,85:78,C#6,Db6,0.3572
noteOn,1713,39,79:18,G5,G5,0.3062
noteOn,1741,72,88:77,E6,E6,0.2552
noteOn,1788,39,82:105,A#5,Bb5,0.2041
noteOn,1788,33,94:110,A#6,Bb6,0.2041
noteOn,1822,33,92:39,G#6,Ab6,0.1021
noteOn,1838,56,86:16,D6,D6,0.051
noteOn,2644,83,56:77,G#3,Ab3,0.5103
noteOn,2677,103,62:74,D4,D4,0.4593
noteOn,2728,84,65:72,F4,F4,0.4082
noteOn,2783,50,71:91,B4,B4,0.3572
noteOn,2785,20,74:67,D5,D5,0.3062
noteOn,2800,66,80:83,G#5,Ab5,0.2552
noteOn,2851,53,83:76,B5,B5,0.2041
noteOn,2863,28,82:40,A#5,Bb5,0.1531
noteOn,2883,33,77:98,F5,F5,0.1021
noteOn,2884,33,89:99,F6,F6,0.051
noteOn,3665,104,51:67,D#3,Eb3,0.4082
noteOn,3706,44,69:54,A4,A4,0.5103
noteOn,3722,133,57:59,A3,A3,0.5103
noteOn,3739,70,75:72,D#5,Eb5,0.5103
noteOn,3741,109,60:63,C4,C4,0.4593
noteOn,3779,63,78:77,F#5,Gb5,0.5103
noteOn,3831,25,84:92,C6,C6,0.5103
noteOn,3833,18,66:66,F#4,Gb4,0.4593
noteOn,4051,53,46:71,A#2,Bb2,0.5613
noteOn,4066,108,52:67,E3,E3,0.5613
noteOn,4080,32,64:47,E4,E4,0.5613
noteOn,4098,72,55:63,G3,G3,0.5613
noteOn,4119,48,70:77,A#4,Bb4,0.5613
noteOn,4140,28,61:81,C#4,Db4,0.5103
noteOn,4151,73,73:77,C#5,Db5,0.4593
noteOn,4210,32,79:91,G5,G5,0.4593
noteOn,4350,62,41:77,F2,F2,0.5613
noteOn,4384,94,47:71,B2,B2,0.5103
noteOn,4403,83,50:67,D3,D3,0.5613
noteOn,4439,27,59:59,B3,B3,0.5613
noteOn,4456,24,56:87,G#3,Ab3,0.5103
noteOn,4467,94,65:72,F4,F4,0.5103
noteOn,4497,73,68:79,G#4,Ab4,0.5103
noteOn,4551,37,74:98,D5,D5,0.5103
noteOn,4684,60,36:77,C2,C2,0.5613
noteOn,4717,101,45:72,A2,A2,0.5613
noteOn,4730,88,42:78,F#2,Gb2,0.5613
noteOn,4779,27,54:73,F#3,Gb3,0.7144
noteOn,4785,99,51:95,D#3,Eb3,0.6634
noteOn,4818,83,60:58,C4,C4,0.6634
noteOn,4849,73,63:80,D#4,Eb4,0.6124
noteOn,4879,30,44:64,G#2,Ab2,0.5613
noteOn,4901,60,69:94,A4,A4,0.5103
noteOn,5014,77,37:82,C#2,Db2,0.6124
noteOn,5042,80,43:64,G2,G2,0.6124
noteOn,5078,83,46:80,A#2,Bb2,0.6124
noteOn,5110,49,55:76,G3,G3,0.6124
noteOn,5119,99,52:85,E3,E3,0.5613
noteOn,5133,83,61:75,C#4,Db4,0.5103
noteOn,5153,37,57:33,A3,A3,0.5103
noteOn,5153,58,64:68,E4,E4,0.5103
noteOn,5196,39,70:98,A#4,Bb4,0.4082
noteOn,5304,62,38:87,D2,D2,0.4593
noteOn,5328,79,44:77,G#2,Ab2,0.4593
noteOn,5364,62,47:71,B2,B2,0.4082
noteOn,5409,29,53:95,F3,F3,0.4593
noteOn,5427,51,56:77,G#3,Ab3,0.4593
noteOn,5477,82,59:72,B3,B3,0.4593
noteOn,5527,54,65:102,F4,F4,0.4593
noteOn,5631,77,34:82,A#1,Bb1,0.4593
noteOn,5658,100,41:80,F2,F2,0.4082
noteOn,5692,72,43:68,G2,G2,0.4082
noteOn,5757,34,50:86,D3,D3,0.4082
noteOn,5760,55,42:6,F#2,Gb2,0.3572
noteOn,5800,79,53:76,F3,F3,0.3572
noteOn,5837,78,55:80,G3,G3,0.4082
noteOn,5881,77,62:103,D4,D4,0.4082
noteOn,5984,327,33:89,A1,A1,0.4082
noteOn,6070,236,38:87,D2,D2,0.3572
noteOn,6113,201,41:81,F2,F2,0.3062
